avg_quant_gre,c_mech_mean,city,name,state,url
166,4.9,Cambridge,Massachusetts Institute of Technology,MA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/massachusetts-institute-of-technology-02077
167,4.8,Stanford,Stanford University,CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/stanford-university-02020
166,4.7,Berkeley,University of California--Berkeley,CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-berkeley-02021
168,4.7,Pasadena,California Institute of Technology,CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/california-institute-of-technology-02009
166,4.5,Ann Arbor,University of Michigan--Ann Arbor,MI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-michigan-ann-arbor-02088
165,4.5,Urbana,University of Illinois--Urbana-Champaign,IL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-illinois-at-urbana-champaign-02055
164,4.5,Atlanta,Georgia Institute of Technology,GA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/georgia-institute-of-technology-02049
164,4.3,West Lafayette,Purdue University--West Lafayette,IN,https://www.usnews.com/best-graduate-schools/top-engineering-schools/purdue-university-main-campus-02057
165,4.3,Ithaca,Cornell University,NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/cornell-university-02118
164,4.1,Austin,University of Texas--Austin (Cockrell),TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-texas-at-austin-02178
167,4.1,Princeton,Princeton University,NJ,https://www.usnews.com/best-graduate-schools/top-engineering-schools/princeton-university-02108
166,4.1,Pittsburgh,Carnegie Mellon University,PA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/carnegie-mellon-university-02152
165,4.0,Evanston,Northwestern University (McCormick),IL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/northwestern-university-02054
165,4.0,Baltimore,Johns Hopkins University (Whiting),MD,https://www.usnews.com/best-graduate-schools/top-engineering-schools/johns-hopkins-university-02073
166,3.9,Los Angeles,University of California--Los Angeles (Samueli),CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-los-angeles-02024
163,3.9,University Park,Pennsylvania State University--University Park,PA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/pennsylvania-state-university-main-campus-02155
162,3.8,Blacksburg,Virginia Tech,VA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/virginia-polytechnic-institute-and-state-university-02187
164,3.8,Madison,University of Wisconsin--Madison,WI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-wisconsin-madison-02192
166,3.8,Philadelphia,University of Pennsylvania,PA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-pennsylvania-02156
164,3.8,Minneapolis,University of Minnesota--Twin Cities,MN,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-minnesota-twin-cities-02091
165,3.8,College Park,University of Maryland--College Park (Clark),MD,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-maryland-college-park-02074
165,3.8,La Jolla,University of California--San Diego (Jacobs),CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-san-diego-02025
162,3.8,College Station,Texas A&M University--College Station,TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/texas-a-m-university-02174
167,3.8,New York,Columbia University (Fu Foundation),NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/columbia-university-02116
166,3.7,Allston,Harvard University,MA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/harvard-university-02076
168,3.6,Houston,Rice University (Brown),TX,https://www.usnews.com/best-graduate-schools/top-engineering-schools/rice-university-02171
166,3.6,Durham,Duke University (Pratt),NC,https://www.usnews.com/best-graduate-schools/top-engineering-schools/duke-university-02130
166,3.6,Providence,Brown University,RI,https://www.usnews.com/best-graduate-schools/top-engineering-schools/brown-university-02159
167,3.5,New Haven,Yale University,CT,https://www.usnews.com/best-graduate-schools/top-engineering-schools/yale-university-02037
163,3.5,Seattle,University of Washington,WA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-washington-seattle-campus-02188
165,3.5,Los Angeles,University of Southern California (Viterbi),CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-southern-california-02027
160,3.5,Gainesville,University of Florida,FL,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-florida-02046
161,3.5,Boulder,University of Colorado--Boulder,CO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-colorado-at-boulder-02032
164,3.5,Santa Barbara,University of California--Santa Barbara,CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-santa-barbara-02026
162,3.5,Troy,Rensselaer Polytechnic Institute,NY,https://www.usnews.com/best-graduate-schools/top-engineering-schools/rensselaer-polytechnic-institute-02121
162,3.5,Columbus,Ohio State University,OH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/ohio-state-university-columbus-02139
163,3.3,Nashville,Vanderbilt University,TN,https://www.usnews.com/best-graduate-schools/top-engineering-schools/vanderbilt-university-02169
163,3.3,Notre Dame,University of Notre Dame,IN,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-notre-dame-02059
162,3.3,Davis,University of California--Davis,CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-davis-02022
166,3.3,Cleveland,Case Western Reserve University,OH,https://www.usnews.com/best-graduate-schools/top-engineering-schools/case-western-reserve-university-02138
164,3.2,Charlottesville,University of Virginia,VA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-virginia-main-campus-02186
163,3.2,Irvine,University of California--Irvine (Samueli),CA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-california-irvine-02023
163,3.2,Piscataway,Rutgers University--New Brunswick,NJ,https://www.usnews.com/best-graduate-schools/top-engineering-schools/rutgers-university-new-brunswick-02109
160,3.2,Ames,Iowa State University,IA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/iowa-state-university-02060
161,3.2,Tempe,Arizona State University (Fulton),AZ,https://www.usnews.com/best-graduate-schools/top-engineering-schools/arizona-state-university-02006
165,3.1,St. Louis,Washington University in St. Louis,MO,https://www.usnews.com/best-graduate-schools/top-engineering-schools/washington-university-in-st-louis-02097
163,3.1,Boston,Northeastern University,MA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/northeastern-university-02078
161,3.1,Raleigh,North Carolina State University,NC,https://www.usnews.com/best-graduate-schools/top-engineering-schools/north-carolina-state-university-raleigh-02132
162,3.0,Pittsburgh,University of Pittsburgh (Swanson),PA,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-pittsburgh-pittsburgh-campus-02157
162,3.0,Newark,University of Delaware,DE,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-delaware-02038
160,3.0,Storrs,University of Connecticut,CT,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-connecticut-02036
